rep,abs_error,precision,recall,cover_rate,avg_dist,FP,FN,f1_score,est_CP,best_penalty,num_detected,method,model_result
41,0,0,0,1.0,0.0,0,0,0.7494930778218889,"[np.int64(100), np.int64(200)]",0.1,2,cpd_nn,"(0, 0, 0, 1.0, 0.7494930778218889, [100, 200], <Figure size 1600x400 with 1 Axes>)"
42,0,0,0,1.0,0.0,0,0,0.7172893632266016,"[np.int64(100), np.int64(200)]",0.1,2,cpd_nn,"(0, 0, 0, 1.0, 0.7172893632266016, [100, 200], <Figure size 1600x400 with 1 Axes>)"
43,1,0,74,1.0,0.0,1,0,0.6556297196257496,"[np.int64(26), np.int64(100), np.int64(200)]",0.1,3,cpd_nn,"(1, 0, 74, 0.9155405405405406, 0.6556297196257496, [26, 100, 200], <Figure size 1600x400 with 1 Axes>)"
44,1,0,74,1.0,0.0,1,0,0.8012364926512261,"[np.int64(26), np.int64(100), np.int64(200)]",0.05,3,cpd_nn,"(1, 0, 74, 0.9155405405405406, 0.8012364926512261, [26, 100, 200], <Figure size 1600x400 with 1 Axes>)"
45,0,0,0,1.0,0.0,0,0,0.688151965172747,"[np.int64(100), np.int64(200)]",0.1,2,cpd_nn,"(0, 0, 0, 1.0, 0.688151965172747, [100, 200], <Figure size 1600x400 with 1 Axes>)"
46,0,0,0,1.0,0.0,0,0,0.7482742203899214,"[np.int64(100), np.int64(200)]",0.1,2,cpd_nn,"(0, 0, 0, 1.0, 0.7482742203899214, [100, 200], <Figure size 1600x400 with 1 Axes>)"
47,0,0,0,1.0,0.0,0,0,0.7000518484324092,"[np.int64(100), np.int64(200)]",0.1,2,cpd_nn,"(0, 0, 0, 1.0, 0.7000518484324092, [100, 200], <Figure size 1600x400 with 1 Axes>)"
48,0,0,0,1.0,0.0,0,0,0.678629501184855,"[np.int64(100), np.int64(200)]",0.1,2,cpd_nn,"(0, 0, 0, 1.0, 0.678629501184855, [100, 200], <Figure size 1600x400 with 1 Axes>)"
49,1,0,74,1.0,0.0,1,0,0.7836629649287522,"[np.int64(26), np.int64(100), np.int64(200)]",0.1,3,cpd_nn,"(1, 0, 74, 0.9155405405405406, 0.7836629649287522, [26, 100, 200], <Figure size 1600x400 with 1 Axes>)"
50,0,0,0,1.0,0.0,0,0,0.7533375822841282,"[np.int64(100), np.int64(200)]",0.05,2,cpd_nn,"(0, 0, 0, 1.0, 0.7533375822841282, [100, 200], <Figure size 1600x400 with 1 Axes>)"
