"method","FP","FN","abs_error","covering_metric"
"bcp",51,1,52,0.342152762491746
"ecp",1,1,0,0.600071598083881
"nonpar",8,0,8,0.51171702284451
"bp",1,1,0,0.696664844177146
"bcp",43,0,46,0.500824133105271
"ecp",1,1,0,0.600071598083881
"nonpar",10,0,10,0.47442888725129
"bp",1,1,0,0.696664844177146
"bcp",42,1,42,0.291499052044875
"ecp",1,1,0,0.600071598083881
"nonpar",9,0,9,0.504133214391912
"bp",1,1,0,0.696664844177146
"bcp",54,0,57,0.496467606526216
"ecp",1,0,1,0.806632277081798
"nonpar",8,0,8,0.627819988310929
"bp",1,1,0,0.696664844177146
"bcp",54,0,57,0.494607087827427
"ecp",1,0,1,0.806632277081798
"nonpar",11,0,11,0.516934153292335
"bp",1,1,0,0.696664844177146
"bcp",47,0,49,0.315985377201728
"ecp",1,1,0,0.600071598083881
"nonpar",10,0,10,0.481208548268239
"bp",1,1,0,0.696664844177146
"bcp",46,0,48,0.488440983356238
"ecp",1,1,0,0.600071598083881
"nonpar",10,0,10,0.477818717759764
"bp",1,1,0,0.696664844177146
"bcp",41,0,43,0.404598086927337
"ecp",1,1,0,0.605075169970315
"nonpar",12,0,12,0.452464624475198
"bp",1,1,0,0.696664844177146
"bcp",38,1,38,0.345776636713736
